entidad,identificacion,estado,municipio,parroquia,direccion,ubicacion,fecha_inicio,telefono,sector,tipo_entidad,tamano_entidad,contacto,telefono_contacto,web_entidad,instagram_entidad,twitter_entidad,facebook_entidad,capital_humano,productos,capacidad_produccion,instalada,operativa,participacion_mercado,materia_prima
"Farmacia Grupo San José","","","","","Av. Las Ferias (Frente de la Estación Palotal), El Palotal, Valencia","","","",2,2,"","","","","@farmaciagruposanjose","","","","","","","","",""
"Farmacia Grupo San Anselmo","","","","","Calle Laurencio Silva cruce con Calle Urdaneta, N° 92, Casco Central de Guacara, estado Carabobo.","","","0412-4402596/ 0245-5647217",2,2,"","","","","@farmaciagruposananselmo","","","","","","","","",""
"Farmacia Gran Victoria","","","","","Av. Lara, cruce con Av. 104 (Montes de Oca), sector La Candelaria, Valencia 2001, Carabobo.","","","0424-4122309",2,2,"","","","","@farmaciagruposananselmo","","","","","","","","",""
"Farmacia Gala","","","","","C.C. El Toco, cruce con Vía Vigirima, Yagua, municipio Guacara, estado Carabobo.","","","0412-8802065",2,2,"","","","","@farmacias_gala","","","","","","","","",""
"Farmacia Fleming","","","","","C.C. Terra Brava, Av. 100 Bolívar, Naguanagua, estado Carabobo","","","0241-8684061/ 0424-4081133",2,2,"","","","","@farmaciaflemingc.a.","","","","","","","","",""
"Farmacia Farmavita","","","","","Av. Cedeño, al lado de Eleval y frente a la Torre Empresarial, Valencia 2001, Carabobo","","","0414-3482081/ 0241-8574672",2,2,"","","","","@farmavita.ve.","","","","","","","","",""
"Farmacia Farmaquin Valencia","","","","","Av. Principal de Las Quintas de Naguanagua, Minicentro Comercial Las Quintas, Local N° 16, Naguanagua, Edo. Carabobo.","","","0241-8675135",2,2,"","","","","@farmaciafarmaquinvalencia_","","","","","","","","",""
"Farmacia Farmadavila","","","","","Avenida Las Ferias (sector sur), Valencia, estado Carabobo","","","(0414)418.9505",2,2,"","","","","@farmadavila.ve","","","","","","","","",""
"Farmacia Farmacenter","","","","","Calle 94 Cantaura, Valencia 2001, Carabobo.","","","0241-8358818",2,2,"","","","","@farmacenter.vzla","","","","","","","","",""
"Farmacia Farma Ya","","","","","Avenida La Limpia,  diagonal a la estacion de servicio la fusta, Valencia Estado Carabobo","","","(0424)405.6052 / (0241)858.3878",2,2,"","","","","@farmaciasya","","","","","","","","",""
"Farmacia Farma Light","","","","","Calle 137, entre avenida 101 y avenida 102, Urb Los Sauces","","","(0241)821.9091",2,2,"","","","","@farma_ligth","","","","","","","","",""
"Farmacia Farma Líder","","","","","Calle comercio, sector Centro,  Puerto Cabello","","","(0412)413.7899",2,2,"","","","","@farmacialidervalencia","","","","","","","","",""
"Farmacia Ersa 2.0","","","","","2003, Valencia 2003, Carabobo","","","0424-4062113",2,2,"","","","","","","","","","","","","",""
"Farmacia El Rastro","","","","","Calle 184 Girardot, Naguanagua 2005, Carabobo","","","0241-8671172",2,2,"","","","","@farmacia_el_rastro","","","","","","","","",""
"Farmacia El Morro(SAAS)","","","","","Calle 143, Centro Comercial Unicentro El Morro II, Niv. PB, Locales 5 y 6, Urbanización El Morro II, San Diego, Carabobo","","","0412-7773307/ 0241-8723760",2,2,"","farmaciaelmorro.com","","@saas_elmorro","","","","","","","",""
"Farmacia El Cafetal(Farmatodo)","","","","","Av. Universidad con calle 179 (frente a la Villa Olímpica), Naguanagua 2005, Carabobo.","","","0424-2443848",2,2,"","","","","@farmatodovzla","","","","","","","","",""
"Farmacia Daniela(Farmatodo)","","","","","62Q2+V2H, Urbanización Mañongo, Naguanagua 2005, Carabobo","","","0424-2443848",2,2,"","","","","@farmatododaniela","","","","","","","","",""
"Farmacia Cristal","","","","","Centro Comercial El Parral, Urbanización El Parral, Valencia, Estado Carabobo.","","","0414-4805668",2,2,"","","","","@farmacia_cristal","","","","","","","","",""
"Farmacia Cielo","","","","","C.C. Mañongo, Urb. Valencia, Av. 168 Salvador Feo La Cruz Este - Oeste, Naguanagua 2005, Carabobo","","","0241-2178612",2,2,"","","","","","","","","","","","","",""
"Farmacia Caroní","","","","","venida Bolívar Norte, Torre Miranda, Planta Baja, Local 6-D, Urbanización Las Acacias (diagonal al antiguo Wendy's), Valencia, Edo. Carabobo","","","0241-8212304/ 0241-8218762",2,2,"","","","","@farma.caro","","","","","","","","",""
"Farmacia Capremco","","","","","Calle 188 con Av. 104 (calle Bolívar), Urbanización Capremco, Naguanagua, Estado Carabobo.","","","0241-8661930",2,2,"","","","","","","","","","","","","",""
"Farmacia Campestre(Farmahorro) (24Hrs)","","","","","Av. Universidad, Centro Comercial San Andrés, Local 45 (Urbanización Campestre), Naguanagua, Edo. Carabobo","","","0241-8671184/ 0412-9119939",2,2,"","","","","@farmahorrove","","","","","","","","",""
"Farmacia Ariadne","","","","","Calle Vía Hospital, Parcela 42, Urbanización Brisas De González Plaza, Naguanagua, Estado Carabobo","","","0241-8671184",2,2,"","","","","","","","","","","","","",""
"Farmacia 44, C.A.","","","","","Av. Las Ferias, cruce con Calle 89, Local S/N, Valencia 2003, Carabobo","","","",2,2,"","","","","","","","","","","","","",""
"Farmacia 24 Horas Naguanagua (SAAS)","","","","","Av. Universidad, entre calle Sucre y calle 23 de Enero, Naguanagua, Edo. Carabobo.","","","0241-8663375",2,2,"","farmaciasaas.com","","@saas_naguanagua24h","","","","","","","",""
"Farmabien","","","","","Ubicada en la zona de Camoruco, Valencia","","","0424-7786729",2,2,"","","","","@farmabien","","","","","","","","",""
"Farma Rendiles","","","","","Av. Principal (Frente al Palacio Los Viveres), La Florida, Valencia","","","(0412)844.6499",2,2,"","","","","","","","","","","","","",""
"Farma Ideal","","","","","Avenida Bolívar Norte, local Nro. 147-38 (a pocos metros de la estación del metro Francisco de Miranda), Valencia.","","","",2,2,"","","","","@farmaideal","","","","","","","","",""
"Farma Encuentros","","","","","Avenida 90 con Calle Principal, Casa Nro. 31, Barrio 24 Horas, Valencia, estado Carabobo.","","","0412-4880426",2,2,"","","","","@farmaencuentros","","","","","","","","",""
"Bienstar","","","","","Avenida Intercomunal San Diego, Centro Comercial Tigsa (también conocido como C.C. El Tigre), Planta Baja, Locales 1 y 2, Urbanización Zona Industrial Castillito, San Diego.","","","0241-8716006/ 0241-8354966",2,2,"","","","","@farmacia.bienstar.","","","","","","","","",""
"Farmacia Industrial Valencia Sur CA","","","","","ZIM, Av Henry Ford, CC Paseo las Industrias, C11 81","","","(0241) 832.54.75 / 832.55.72 / 832.91.82",2,2,"","","","","Enviamed - Farmacia Industrial","","","","","","","","",""
"Farmacia Ipafarma Norte, CA","","","","","Av Valmore Rodríguez, CC Río Sil, local n° 9, Naguanagua, Carabobo","","","+58 241-8675820.",2,2,"","","","","@farmaciafarmanortevzla","","","","","","","","",""
"DROGUERÍA FARMACEUTICA NIVICA, CA","","","","","Av Los Trotones, CC Reda Building, TorreA, nivel 4 ofic 4-11, Urb Valles de Camoruco, Valencia, Estado Carabobo","","","0241-8234207.",2,2,"","","","","@droguerianivica","","","","","","","","",""
"Casa Médica Pango C.A","","","","","Av. Bolívar Norte, Torre Banaven, Planta Baja, Local PB 21. Valencia, estado Carabobo","","","0412-4894304/  0241-8241019",3,2,"","","","","@casamedicapango.","","","","","","","","",""
"Casa Médica Servicios y Salud Maia, C.A","","","","","Calle 133 Lopez Latouche, sector Camoruco (diagonal al C.C. Otama), Valencia 2001, estado Carabobo","","","0424-8141551/ 0241-8141550 / 0414-4951599",3,2,"","","","","@servisaludmaia","","","","","","","","",""
"Insumos Médicos Zero - Casa Médica","","","","","Centro Comercial Mola, Planta Baja, Local 5-B, Calle 133 Lopez Latouche, sector Camoruco, Valencia, estado Carabobo.","","","0412-8442265/ 0414-4209499",3,2,"","","","","@insumosmedicoszero","","","","","","","","",""
"Casa Médica Mundo Trauma CA","","","","","Avenida 93 Lisandro Alvarado, Local 111-E-51, frente a la Ciudad Hospitalaria ""Dr. Enrique Tejera"" (Hospital Central), Valencia, estado Carabobo","","","0241-8318814/ 0414-4201133",3,2,"","","","","@mundotrauma","","","","","","","","",""
"Casa Médica SMILCA","","","","","Av. Universidad, Calle 190-99, diagonal al C.C. San Andrés (antiguo local Pérez Gas), Naguanagua, estado Carabobo","","","0412-8803800/ 0424-4015374",3,2,"","","","","@casamedicasmilca.","","","","","","","","",""
"Casa Médica Norte","","","","","Urbanización Naguanagua, Municipio Naguanagua, estado Carabobo","","","0412-4217192",3,2,"","","","","@casamedicanorte","","","","","","","","",""
"Casa Médica Valmedicafl","","","","","Av. Lara, Valencia 2001, Carabobo","","","0241-8588437",3,2,"","","","","@Valmedica","","","","","","","","",""
"Centro Policlínico Valencia (La Viña)","","","","","Avenida La Viña Redoma, Urbanización La Viña, Valencia, Carabobo.","","","0241-8202631 / 0412-2768559",4,3,"","","","","@clinicalavina","","","","","","","","",""
"Clínica La Guerra Méndez","","","","","Casco Central de Valencia, en la Calle Rondón N° 103. El edificio anexo, Torre D, también se encuentra en la Calle 103/Rondón.","","","0241-8561000 / 0424-1734041",4,3,"","","","","@laguerramendez","","","","","","","","",""
"Clinica Prevaler","","","","","Avenida Henry Ford, C.C. Centro Industrial Henry Ford, Zona Industrial Municipal Norte, a 300 metros de la Alcaldía de Valencia.","","","0241-7000000 / 0424-4020751",4,3,"","","","","@clinicaprevaler","","","","","","","","",""
"Clínica Especialidades El Ángel","","","","","Avenida Bolívar Norte, Calle 148, N° 100-97, Urbanización Carabobo, frente al Nautilus, Valencia, Carabobo.","","","+58 414-9480857",4,3,"","","","","@especialidadeselangel","","","","","","","","",""
"Metrosalud Carabobo","","","","","Centro Comercial Polígono, Urbanización La Isabelica, Av. Industrial Uno, Valencia, Carabobo.","","","0241-838 9571",4,3,"","","","","@metrosaludaps.","","","","","","","","",""
"Hospital Metropolitano del Norte (SERMECA)","","","","","Avenida Valencia, sector La Florida, Naguanagua, Carabobo, Venezuela.","","","0241-7007000 / 0414-4188639",4,3,"","","","","@hospitalmetropolitanodelnorte","","","","","","","","",""
"Centro Clínico Naguanagua","","","","","Final de la Avenida Universidad, Calle Valmore Rodríguez, Naguanagua (frente al C.C. Mango Shopping).","","","0241-8663895 y 0241-8916924",4,3,"","","","","","","","","","","","","",""
"Centro Clínico La Luz","","","","","Avenida Bolívar de Naguanagua, detrás del Farmatodo y Luxor de la campiña.","","","0412-0463358 / 0412-0463358",4,3,"","","","","@centroclinicolaluz","","","","","","","","",""
"Centro Clínico del Caribe","","","","","Urb. Rancho grande, al final de la Av. Juan Jose Flores, Puerto Cabello Edo. Carabobo.","","","0412-5917153",4,3,"","","","","@centroclinicodelcaribe","","","","","","","","",""
"Clínica Urdaneta","","","","","Calle Ayacucho 2050, Puerto Cabello, Carabobo, Venezuela.","","","0412-4124991 / 0412-1027038",4,3,"","","","","@urdanetapoliclinica","","","","","","","","",""
"Centro Médico Los Guayos","","","","","Avenida Bolívar, cruce con Negro Primero, Edificio Don Miguel, Piso PB, Local 1 y 2, Sector Los Guayabos, Los Guayos, estado Carabobo, Venezuela.","","","0241-8331553",4,3,"","","","","","","","","","","","","",""
"Policlínico Bejuma","","","","","Av. Los Fundadores con Calle Agustín Betancourt, Bejuma 2040, Estado Carabobo","","","0249-7934477",4,3,"","","","","@policlinicobejuma","","","","","","","","",""
"Clinica Eloim","","","","","Av. Principal Este-Oeste, Urb. La Isabelica, Sector 5, Vereda 11, Valencia, Estado Carabobo","","","0241-8384929/  0241-8399211",4,3,"","","","","@policlinicaelohimvalencia","","","","","","","","",""
"Clinica Santa Monica","","","","","Urbanización Michelena, cruce de la Avenida Michelena con Calle Branger, N° 90-54, Valencia, Estado Carabobo.","","","0241-8582155/ 0424-4026256/ 0412-4414227",4,3,"","","","","@ecografiasclinicasm","","","","","","","","",""
"Clinicas Lomas del Este","","","","","Calle Navas Spínola con Calle Cedeño, Edificio N° 88-376, Valencia, Estado Carabobo.","","","0241-8591055/ 0241-8352284.",4,3,"","","","","@maternidad_deleste","","","","","","","","",""
"Instituto Clínico San Blas","","","","","Avenida Ricaurte N° 98-69, entre Calle Páez y Calle Comercio, Valencia, Estado Carabobo","","","0241-8590742/ 0424-4052058",4,3,"","","","","@clinicasanblasvalencia","","","","","","","","",""
"Maternidad Santa María","","","","","Urbanización San Blas, Valencia, Estado Carabobo","","","0412-0674055",4,3,"","","","","@maternidadsantamaria","","","","","","","","",""
"Centro Médico Integral Valencia (CMIVAL)","","","","","Calle 24 de Junio, cruce con Calle Ricaurte, Edificio Don Fernando, Sector San Blas, Valencia, Estado Carabobo","","","0414-5974893/ 0412-9348768",4,3,"","","","","@cmivalencia1","","","","","","","","",""
"Consultorios San Blas","","","","","Calle Páez, entre Ricaurte y Campo Elías, N° 90-72, Valencia, Estado Carabobo.","","","0414-5975166",4,3,"","","","","@consultoriossanblas","","","","","","","","",""
