alcaldia,fechaingreso,areadato,gestionpor,clasedato,datoespecifico,tipovalordato,valordato,parroquia
Guacara,01-19-26,11,2,4,Nueva parada inteligente,5,"10.2241, -67.8812",Guacara
San Diego,02-01-26,4,1,3,Escuelas con acceso a internet,1,18,San Diego
Bejuma,03-07-26,9,3,2,Plan de seguridad rural,2,En ejecución,Bejuma
Carlos Arvelo,01-21-26,10,1,1,Corte de cable telefónico,3,TRUE,Güigüe
Diego Ibarra,02-26-26,7,2,4,Punto de acopio temporal,5,"10.2911, -67.6912",Mariara
J. Iturriza,03-11-26,11,1,2,Estado de flota transporte,2,Operativa al 60%,Morón
Libertador,01-04-26,3,3,3,Luminarias instaladas mes,1,245,Independencia
Los Guayos,02-15-26,1,1,1,Rotura de tubería de 12 pulgadas,3,TRUE,Los Guayos
Miranda,03-28-26,5,2,2,Renovación de cableado de alta tensión,2,En curso,Miranda
Montalbán,01-07-26,12,1,3,Kilómetros de vialidad agrícola,1,42,Montalbán
San Joaquín,02-18-26,8,3,4,Ubicación de Ambulatorio Central,5,"10.2641, -67.7912",San Joaquín
Valencia,03-06-26,10,1,1,Avería masiva zona industrial,3,FALSE,Rafael Urdaneta
Puerto Cabello,01-31-26,2,2,2,Desbordamiento de aguas servidas,2,Atendido,Democracia
Naguanagua,02-12-26,4,1,3,Índice de deserción escolar Q1,1,4.2,Naguanagua
Guacara,03-13-26,6,3,1,Remodelación de cancha deportiva,3,TRUE,Guacara
San Diego,01-03-26,12,1,2,Informe de resistencia de asfalto,2,Grado A,San Diego
Bejuma,02-21-26,1,2,4,Ubicación tanque de almacenamiento,5,"10.1700, -68.2300",Canoabo
Carlos Arvelo,03-24-26,3,1,3,Porcentaje de cobertura alumbrado,1,72,Tacarigua
Diego Ibarra,01-27-26,8,3,1,Brote epidemiológico controlado,3,TRUE,Aguas Calientes
J. Iturriza,02-09-26,9,1,2,Reporte de violencia vecinal,2,Disminución del 15%,Urama
Libertador,03-16-26,5,2,1,Transformador explotado por sobrecarga,3,TRUE,Tocuyito
Los Guayos,01-13-26,7,1,3,Frecuencia semanal de aseo,1,2,Los Guayos
Miranda,02-03-26,4,3,2,Dotación de pupitres nuevos,2,200 unidades,Miranda
Montalbán,03-27-26,11,1,4,Terminal de pasajeros provisorio,5,"10.2111, -68.3211",Montalbán
San Joaquín,01-16-26,12,2,1,Cierre de vía por desprendimiento,3,FALSE,San Joaquín
Valencia,02-06-26,1,1,3,Presión de salida Planta Alejo Zuloaga,1,85,San Blas
Puerto Cabello,03-08-26,3,3,2,Plan de iluminación costera,2,Fase 1 completada,Goaigoaza
Naguanagua,01-10-26,2,1,4,Boca de visita sin tapa,5,"10.2844, -68.0021",Naguanagua
Guacara,02-16-26,5,2,3,Capacidad disponible subestación,1,15,Ciudad Alianza
San Diego,03-31-26,9,1,1,Hurto de cableado en zona norte,3,TRUE,San Diego
Bejuma,01-17-26,10,3,2,Ampliación de cobertura móvil,2,Banda 4G activa,Bejuma
Carlos Arvelo,02-24-26,8,1,4,Centro de diagnóstico integral,5,"10.0211, -67.7811",Belén
Diego Ibarra,03-23-26,6,2,1,Caída de árbol en plaza Bolívar,3,TRUE,Mariara
J. Iturriza,01-26-26,12,1,3,Metros lineales de cunetas limpios,1,1200,Morón
Libertador,02-07-26,1,3,2,Sustitución de válvula de paso,2,Finalizada,Independencia
Los Guayos,03-17-26,4,1,1,Inicio de año escolar técnico,4,01-15-26,Los Guayos
Miranda,01-01-26,7,2,3,Generación de lixiviados diarios,1,400,Miranda
Montalbán,02-14-26,3,1,4,Foco de contaminación lumínica,5,"10.2100, -68.3200",Montalbán
San Joaquín,03-29-26,11,3,2,Estado de señalización vial,2,Requiere pintura,San Joaquín
Valencia,01-12-26,9,1,3,Número de cuadrantes activos,1,24,Catedral
Puerto Cabello,02-22-26,8,2,1,Falta de especialistas en pediatría,3,TRUE,Fraternidad
Naguanagua,03-04-26,1,1,2,Racionamiento nocturno de agua,2,De 10pm a 5am,Naguanagua
Guacara,01-06-26,3,3,4,Caja de control alumbrado público,5,"10.2311, -67.8921",Guacara
San Diego,02-21-26,2,1,1,Colapso de cloacas Av. Don Julio Centeno,3,TRUE,San Diego
Bejuma,03-15-26,5,2,3,Costo de mantenimiento mensual red,1,15000,Simón Bolívar
Carlos Arvelo,01-23-26,6,1,2,Limpieza de maleza cementerio,2,Al 100%,Güigüe
Diego Ibarra,02-28-26,11,3,1,Protesta por falta de buses,3,FALSE,Aguas Calientes
J. Iturriza,03-09-26,7,1,4,Relleno sanitario municipal,5,"10.4811, -68.1911",Urama
Libertador,01-09-26,4,2,2,Apertura de taller de oficios,2,Inscripciones abiertas,Tocuyito
Los Guayos,02-18-26,8,1,3,Promedio de consultas diarias,1,45,Los Guayos
Miranda,03-26-26,12,3,1,Puente sobre el río Miranda dañado,3,TRUE,Miranda
Montalbán,01-15-26,10,1,2,Calidad de señal repetidora,2,Intermitente,Montalbán
San Joaquín,02-05-26,9,2,4,Modulo policial entrada sur,5,"10.2600, -67.7800",San Joaquín
Valencia,03-22-26,5,1,1,Explosión de transformador San José,3,TRUE,San José
Puerto Cabello,01-28-26,1,3,3,Nivel de embalse de tierra blanca,1,12,Borburata
Valencia,04-05-26,1,1,3,Presión de salida Red Norte,1,62,San José
Puerto Cabello,04-06-26,11,2,4,Parada de carga pesada muelle,5,"10.4820, -68.0100",Unión
Naguanagua,04-07-26,3,1,2,Mantenimiento preventivo transformador,2,Ejecutado,Naguanagua
Guacara,04-08-26,8,3,1,Inventario de antibióticos,1,450,Yagua
San Diego,04-09-26,12,1,4,Socavamiento por drenaje colapsado,5,"10.2541, -67.9422",San Diego
Bejuma,04-10-26,4,1,3,Matrícula estudiantil activa,1,310,Canoabo
Carlos Arvelo,04-11-26,5,2,1,Falla de fase en red de baja tensión,3,TRUE,Güigüe
Diego Ibarra,04-12-26,7,3,2,Estado de compactadora municipal,2,Operativo,Mariara
J. Iturriza,04-13-26,1,1,3,Nivel freático pozo 4,1,24,Morón
Libertador,04-14-26,9,1,2,Ronda de vigilancia nocturna,2,Sin novedades,Tocuyito
Los Guayos,04-15-26,10,2,4,Antena repetidora sector industrial,5,"10.1844, -67.9300",Los Guayos
Miranda,04-16-26,2,1,3,Caudal aguas servidas colector,1,15,Miranda
Montalbán,04-17-26,12,3,1,Repavimentación troncal 11,4,05-20-26,Montalbán
San Joaquín,04-18-26,3,1,2,Recuperación luminaria LED,1,120,San Joaquín
Valencia,04-19-26,8,1,4,Punto de triaje respiratorio,5,"10.1544, -68.0022",Miguel Peña
Puerto Cabello,04-20-26,1,2,3,Consumo agua sector turístico,1,850,Goaigoaza
Naguanagua,04-21-26,6,1,2,Desmalezamiento Jardín Botánico,2,En proceso,Naguanagua
Guacara,04-22-26,11,3,1,Ajuste horario rutas urbanas,4,04-25-26,Ciudad Alianza
San Diego,04-23-26,5,1,3,Demanda pico subestación local,1,4.2,San Diego
Bejuma,04-24-26,7,2,3,Recolección desechos hospitalarios,1,1.2,Bejuma
Carlos Arvelo,04-25-26,10,1,2,Velocidad de carga DSL,2,4 Mbps,Tacarigua
Diego Ibarra,04-26-26,2,1,4,Obstrucción por sedimentos canal,5,"10.2811, -67.7000",Aguas Calientes
J. Iturriza,04-27-26,3,3,3,Voltaje promedio alumbrado,1,208,Urama
Libertador,04-28-26,4,1,1,Entrega de útiles escolares,1,1500,Independencia
Los Guayos,04-29-26,9,2,2,Incidencia por ruidos molestos,2,Procesado,Los Guayos
Miranda,04-30-26,12,1,4,Falla de borde en vía agrícola,5,"10.1422, -68.3811",Miranda
Montalbán,05-01-26,1,3,3,pH del agua tratada,1,7.2,Montalbán
San Joaquín,05-02-26,5,1,1,Explosión de seccionador,3,TRUE,San Joaquín
Valencia,05-03-26,7,1,2,Limpieza de botaderos satélite,2,Completado 80%,Santa Rosa
Puerto Cabello,05-04-26,6,2,4,Nueva zona de ejercicio Malecón,5,"10.4755, -68.0120",Fraternidad
Naguanagua,05-05-26,12,1,1,Hundimiento de asfalto Av. Bolívar,3,TRUE,Naguanagua
Guacara,05-06-26,1,3,3,Pérdida por tubería matriz,1,15,Guacara
San Diego,05-07-26,5,1,2,Reemplazo de aisladores red,2,Finalizado,San Diego
Bejuma,05-08-26,4,2,4,Escuela básica nacional,5,"10.1755, -68.2255",Simón Bolívar
Carlos Arvelo,05-09-26,7,1,1,Fugas de lixiviados controladas,3,FALSE,Belén
Diego Ibarra,05-10-26,9,3,3,Reporte de robo de conductores,1,4,Mariara
J. Iturriza,05-11-26,10,1,2,Conectividad en plaza Bolívar,2,Activa (Free Wifi),Morón
Libertador,05-12-26,11,2,1,Refuerzo de flota transporte escolar,1,5,Tocuyito
Los Guayos,05-13-26,3,1,4,Poste caído por impacto,5,"10.1944, -67.9422",Los Guayos
Miranda,05-14-26,8,3,1,Campaña prevención malaria,4,05-20-26,Miranda
Montalbán,05-15-26,1,1,2,Prueba de turbidez agua,2,Bajo normas,Montalbán
San Joaquín,05-16-26,2,2,3,Porcentaje lodos activados,1,45,San Joaquín
Valencia,05-17-26,12,1,1,Pasarela peatonal debilitada,3,TRUE,Rafael Urdaneta
Puerto Cabello,05-18-26,5,3,2,Fluctuación de frecuencia red,2,Inestable,Bartolomé Salom
Naguanagua,05-19-26,6,1,3,Árboles podados preventivamente,1,45,Naguanagua
Guacara,05-20-26,11,2,4,Punto de transferencia pasajeros,5,"10.2255, -67.8844",Guacara
San Diego,05-21-26,4,1,3,Laboratorios de computación activos,1,12,San Diego
Bejuma,05-22-26,9,3,2,Dispositivo seguridad vial,2,En curso,Bejuma
Carlos Arvelo,05-23-26,10,1,1,Falla repetidora telefonía móvil,3,TRUE,Tacarigua
Diego Ibarra,05-24-26,7,2,4,Ubicación de vertedero municipal,5,"10.2944, -67.6822",Mariara
J. Iturriza,05-25-26,11,1,2,Estado unidades transporte público,2,Deficiente,Urama
Libertador,05-26-26,3,3,3,Consumo mensual alumbrado,1,15200,Independencia
Los Guayos,05-27-26,1,1,1,Fuga en aducción 16 pulgadas,3,TRUE,Los Guayos
Miranda,05-28-26,5,2,2,Mantenimiento líneas media tensión,2,Completado,Miranda
Montalbán,05-29-26,12,1,3,Longitud canalización cunetas,1,250,Montalbán
San Joaquín,05-30-26,8,3,4,Ubicación módulo Barrio Adentro,5,"10.2622, -67.7944",San Joaquín
Valencia,05-31-26,10,1,1,Interrupción servicio internet fibra,3,FALSE,Catedral
Puerto Cabello,06-01-26,2,2,2,Limpieza de sedimentos alcantarilla,2,Atendido,Democracia
Naguanagua,06-02-26,4,1,3,Asistencia escolar promedio,1,92.5,Naguanagua
Guacara,06-03-26,6,3,1,Inauguración parque infantil,3,TRUE,Yagua
San Diego,06-04-26,12,1,2,Ensayo de densidad asfáltica,2,98.0%,San Diego
Bejuma,06-05-26,1,2,4,Bomba de agua pozo principal,5,"10.1711, -68.2322",Bejuma
Carlos Arvelo,06-06-26,3,1,3,Luminarias recuperadas Q2,1,310,Güigüe
Diego Ibarra,06-07-26,8,3,1,Casos asma estacional reportados,3,FALSE,Aguas Calientes
J. Iturriza,06-08-26,9,1,2,Reporte de alteración orden público,2,Controlado,Morón
Libertador,06-09-26,5,2,1,Caída de transformador por rayo,3,TRUE,Tocuyito
Los Guayos,06-10-26,7,1,3,Viajes camión compactador/día,1,4,Los Guayos
Miranda,06-11-26,4,3,2,Reparación techos aula magna,2,Finalizado,Miranda
Montalbán,06-12-26,11,1,4,Parada de mototaxis autorizada,5,"10.2122, -68.3244",Montalbán
San Joaquín,06-13-26,12,2,1,Obstáculo en vía por derrumbe,3,TRUE,San Joaquín
Valencia,06-14-26,1,1,3,Conductividad eléctrica agua,1,450,San Blas
Puerto Cabello,06-15-26,3,3,2,Sustitución bombillos vapor sodio,2,Por LED 50W,Borburata
Naguanagua,06-16-26,2,1,4,Ubicación boca de visita obstruida,5,"10.2855, -68.0044",Naguanagua
Guacara,06-17-26,5,2,3,Sobrecarga de circuito residencial,1,115,Guacara
San Diego,06-18-26,9,1,1,Robo de tapas de alcantarilla,3,TRUE,San Diego
Bejuma,06-19-26,10,3,2,Mejora en ancho de banda LTE,2,Estable,Canoabo
Carlos Arvelo,06-20-26,8,1,4,Ubicación clínica municipal,5,"10.0244, -67.7844",Tacarigua
Diego Ibarra,06-21-26,6,2,1,Poda de maleza en ciclovía,3,TRUE,Mariara
J. Iturriza,06-22-26,12,1,3,Relleno con material integral,1,150,Morón
Libertador,06-23-26,1,3,2,Instalación de flujómetro digital,2,Operativo,Tocuyito
Los Guayos,06-24-26,4,1,1,Censo población infantil 0-5,4,07-01-26,Los Guayos
Miranda,06-25-26,7,2,3,Emisión de CO2 vertedero,1,250,Miranda
Montalbán,06-26-26,3,1,4,Reflector cancha de fútbol,5,"10.2144, -68.3244",Montalbán
San Joaquín,06-27-26,11,3,2,Pintura de rayado peatonal,2,Completado,San Joaquín
Valencia,06-28-26,9,1,3,Tiempo respuesta patrullaje (min),1,12,Candelaria
Puerto Cabello,06-29-26,8,2,1,Falta de reactivos laboratorio,3,TRUE,Unión
Naguanagua,06-30-26,1,1,2,Detección de tomas ilegales,2,Eliminadas 5,Naguanagua
Guacara,07-01-26,3,3,4,Caja de control alumbrado norte,5,"10.2344, -67.8955",Guacara
San Diego,07-02-26,2,1,1,Desborde de aguas servidas Av. Julio Centeno,3,TRUE,San Diego
Bejuma,07-03-26,5,2,3,Costo repuesto motor bomba,1,420,Simón Bolívar
Carlos Arvelo,07-04-26,6,1,2,Poda ornamental plaza Bolívar,2,Al 50%,Belén
Diego Ibarra,07-05-26,11,3,1,Falta de repuestos para bus público,3,TRUE,Aguas Calientes
J. Iturriza,07-06-26,7,1,4,Celda 3 vertedero saturada,5,"10.4855, -68.1944",Urama
Libertador,07-07-26,4,2,2,Curso de emprendimiento comunal,2,Activo,Tocuyito
Los Guayos,07-08-26,8,1,3,Tasa natalidad mensual,1,25,Los Guayos
Miranda,07-09-26,12,3,1,Socavamiento puente de guerra,3,TRUE,Miranda
Montalbán,07-10-26,10,1,2,Interferencia señal VHF,2,Reportado,Montalbán
San Joaquín,07-11-26,9,2,4,Ubicación punto control vial,5,"10.2644, -67.7844",San Joaquín
Valencia,07-12-26,5,1,1,Falla de potencia transformador,3,TRUE,Negro Primero
Puerto Cabello,07-13-26,1,3,3,Capacidad embalse Tierra Blanca,1,42,Patanemo
Valencia,07-14-26,3,1,4,Sustitución bombillo LED 100W,5,"10.1622, -68.0011",San José
Puerto Cabello,07-15-26,11,2,3,Carga de granel sólido muelle 5,1,2500,Unión
Naguanagua,07-16-26,5,1,2,Ajuste de protecciones subestación,2,Completado,Naguanagua
Guacara,07-17-26,1,3,3,Presión en red sector Vigirima,1,35,Guacara
San Diego,07-18-26,6,1,1,Poda de seguridad tendido eléctrico,3,TRUE,San Diego
Bejuma,07-19-26,12,1,4,Bacheo puntual sector El rincón,5,"10.1744, -68.2255",Bejuma
Carlos Arvelo,07-20-26,8,2,2,Dotación de insumos ambulatorio,2,Recibido,Güigüe
Diego Ibarra,07-21-26,2,1,3,Nivel de rebose colector principal,1,85,Mariara
J. Iturriza,07-22-26,7,3,1,Falla en compactadora de basura,3,TRUE,Morón
Libertador,07-23-26,10,1,2,Prueba de señal repetidora móvil,2,Estable,Tocuyito
Los Guayos,07-24-26,1,2,1,Rotura de tubería 4 pulgadas,3,TRUE,Los Guayos
Miranda,07-25-26,4,1,3,Estudiantes inscritos lapso B,1,120,Miranda
Montalbán,07-26-26,5,3,2,Mantenimiento transformador 25kVA,2,En espera,Montalbán
San Joaquín,07-27-26,9,1,1,Despliegue patrullaje preventivo,3,TRUE,San Joaquín
Valencia,07-28-26,12,1,3,Metros cuadrados asfalto aplicado,1,450,Miguel Peña
Puerto Cabello,07-29-26,3,2,4,Poste chocado Av. La Marina,5,"10.4711, -68.0144",Bartolomé Salom
Naguanagua,07-30-26,8,1,2,Jornada vacunación infantil,2,Finalizada,Naguanagua
Guacara,07-31-26,7,3,3,Tonelaje desechos recolectados,1,18.5,Yagua
San Diego,08-01-26,11,1,1,Demora en frecuencia transporte,1,25,San Diego
Bejuma,08-02-26,1,2,2,Limpieza de pozo profundo N3,2,Ejecutado,Canoabo
Carlos Arvelo,08-03-26,2,1,4,Obstrucción drenaje pluvial,5,"10.0255, -67.7822",Tacarigua
Diego Ibarra,08-04-26,5,3,1,Corte programado mantenimiento,4,08-10-26,Mariara
J. Iturriza,08-05-26,3,1,3,Luminarias activas Av. Morón,1,42,Morón
Libertador,08-06-26,6,2,2,Mantenimiento áreas verdes plaza,2,Al 100%,Independencia
Los Guayos,08-07-26,12,1,1,Falla de borde calle Los Cerritos,3,TRUE,Los Guayos
Miranda,08-08-26,8,3,2,Campaña control de vectores,2,En curso,Miranda
Montalbán,08-09-26,10,1,4,Nueva antena WISP instalada,5,"10.2122, -68.3211",Montalbán
San Joaquín,08-10-26,1,1,3,Litros por segundo captados,1,180,San Joaquín
Valencia,08-11-26,4,2,1,Reparación de filtración en aula,3,FALSE,Rafael Urdaneta
Puerto Cabello,08-12-26,2,3,2,Limpieza de alcantarilla centro,2,Atendido,Democracia
Naguanagua,08-13-26,11,1,3,Unidades de transporte operativas,1,14,Naguanagua
Guacara,08-14-26,5,2,4,Falla seccionador primario,5,"10.2288, -67.8811",Ciudad Alianza
San Diego,08-15-26,3,1,1,Reemplazo de fotocélulas dañadas,3,TRUE,San Diego
Bejuma,08-16-26,7,3,2,Estado de camión compactador 1,2,Taller,Simón Bolívar
Carlos Arvelo,08-17-26,9,1,3,Denuncias por hurto de cables,1,2,Belén
Diego Ibarra,08-18-26,1,2,1,Filtración en aducción principal,3,TRUE,Aguas Calientes
J. Iturriza,08-19-26,12,3,4,Ubicación de bache crítico,5,"10.4911, -68.1822",Urama
Libertador,08-20-26,8,1,2,Atención médica domiciliaria,2,5 casos,Tocuyito
Los Guayos,08-21-26,5,2,3,Voltaje medido en transformador,1,118,Los Guayos
Miranda,08-22-26,6,1,1,Poda de árboles Av. Principal,3,FALSE,Miranda
Montalbán,08-23-26,1,3,2,Tratamiento de cloración tanque,2,Nivel óptimo,Montalbán
San Joaquín,08-24-26,3,1,4,Poste con riesgo de caída,5,"10.2655, -67.7911",San Joaquín
Valencia,08-25-26,2,2,3,Nivel de lodos en colector,1,40,Candelaria
Puerto Cabello,08-26-26,11,1,2,Revisión de rutas suburbanas,2,Sin cambios,Juan José Flores
Naguanagua,08-27-26,4,3,1,Entrega de merienda escolar,3,TRUE,Naguanagua
Guacara,08-28-26,10,1,3,Usuarios conectados WiFi Plaza,1,85,Guacara
San Diego,08-29-26,12,2,4,Punto de monitoreo vial,5,"10.2588, -67.9411",San Diego
Bejuma,08-30-26,3,1,1,Sustitución de balasto quemado,3,TRUE,Bejuma
Carlos Arvelo,08-31-26,6,3,2,Mantenimiento de cementerio,2,Iniciado,Güigüe
Diego Ibarra,09-01-26,8,1,3,Número de partos atendidos,1,3,Mariara
J. Iturriza,09-02-26,5,2,1,Falla de neutro sectorial,3,TRUE,Morón
Libertador,09-03-26,1,3,4,Válvula reguladora de presión,5,"10.2111, -68.0122",Tocuyito
Los Guayos,09-04-26,7,1,2,Frecuencia de aseo zona norte,2,Diaria,Los Guayos
Miranda,09-05-26,9,3,1,Despliegue operativo seguridad,4,09-10-26,Miranda
Montalbán,09-06-26,11,1,3,Costo pasaje transporte local,1,15,Montalbán
San Joaquín,09-07-26,2,2,2,Limpieza de sumideros de ventana,2,Al 80%,San Joaquín
Valencia,09-08-26,5,1,1,Transformador quemado por rayo,3,TRUE,San Blas
Puerto Cabello,09-09-26,12,3,3,Toneladas de asfalto en frío,1,5,Goaigoaza
Naguanagua,09-10-26,10,1,2,Velocidad fibra óptica nodo 4,2,200 Mbps,Naguanagua
Guacara,09-11-26,3,2,4,Luminaria LED instalada poste,5,"10.2211, -67.8844",Ciudad Alianza
Valencia,09-12-26,1,1,1,Reparación tubería matriz 24'',3,TRUE,San José
Puerto Cabello,09-13-26,3,2,2,Mantenimiento preventivo subestación,2,Completado,Borburata
Naguanagua,09-14-26,12,1,4,Bacheo Av. Universidad sector 3,5,"10.2822, -68.0111",Naguanagua
Guacara,09-15-26,8,3,1,Inventario de material médico-quirúrgico,2,Stock al 75%,Yagua
San Diego,09-16-26,4,1,3,Aumento matrícula educación inicial,1,145,San Diego
Bejuma,09-17-26,5,2,1,Falla de transformador por sobrecarga,3,TRUE,Canoabo
Carlos Arvelo,09-18-26,7,1,3,Tonelaje basura recolectada semanal,1,24.5,Güigüe
Diego Ibarra,09-19-26,9,3,1,Despliegue operativo seguridad vial,4,09-25-26,Mariara
J. Iturriza,09-20-26,10,1,2,Prueba de latencia red municipal,2,0.010,Morón
Libertador,09-21-26,2,1,4,Limpieza de colector de aguas servidas,5,"10.2144, -68.0211",Tocuyito
Los Guayos,09-22-26,6,2,2,Podado de árboles en plazas públicas,2,En curso,Los Guayos
Miranda,09-23-26,11,1,1,Frecuencia de transporte suburbano,1,3,Miranda
Montalbán,09-24-26,1,3,3,Concentración de cloro en red,1,1.2,Montalbán
San Joaquín,09-25-26,3,1,4,Instalación de poste alumbrado LED,5,"10.2611, -67.7922",San Joaquín
Valencia,09-26-26,5,2,3,Consumo eléctrico zona industrial,1,1250,Rafael Urdaneta
Puerto Cabello,09-27-26,8,1,1,Apertura de jornada de vacunación,4,10-05-26,Unión
Naguanagua,09-28-26,1,3,2,Sustitución de bomba de agua pozo 2,2,Instalada,Naguanagua
Guacara,09-29-26,12,1,1,Falla de borde vía Vigirima,3,TRUE,Guacara
San Diego,09-30-26,9,1,3,Número de llamadas emergencia Q3,1,512,San Diego
Bejuma,10-01-26,10,2,4,Nueva antena LTE sector sur,5,"10.1711, -68.2344",Bejuma
Carlos Arvelo,10-02-26,4,1,2,Reparación de techos escuela local,2,Finalizado,Tacarigua
Diego Ibarra,10-03-26,3,3,3,Luminarias quemadas reportadas,1,12,Aguas Calientes
J. Iturriza,10-04-26,5,1,1,Corte eléctrico por mantenimiento,3,FALSE,Urama
Libertador,10-05-26,7,2,2,Mantenimiento de compactadora N4,2,Taller,Independencia
Los Guayos,10-06-26,11,3,1,Incorporación de nueva unidad de bus,4,10-15-26,Los Guayos
Miranda,10-07-26,12,1,3,Metros lineales bacheo ejecutado,1,300,Miranda
Montalbán,10-08-26,8,3,4,Ubicación de nuevo CDI municipal,5,"10.2133, -68.3255",Montalbán
San Joaquín,10-09-26,1,1,2,Mantenimiento de filtros planta,2,Óptimo,San Joaquín
Valencia,10-10-26,2,1,1,Colapso de alcantarilla Av. Lara,3,TRUE,Catedral
Puerto Cabello,10-11-26,6,2,3,Superficie desmalezada malecón,1,1200,Fraternidad
Naguanagua,10-12-26,5,3,2,Prueba de carga subestación norte,2,Exitosa,Naguanagua
Guacara,10-13-26,1,1,4,Punto de rotura tubería 8'',5,"10.2255, -67.8833",Ciudad Alianza
San Diego,10-14-26,3,2,1,Sustitución de cableado de cobre,3,TRUE,San Diego
Bejuma,10-15-26,8,1,3,Consultas pediátricas atendidas,1,45,Simón Bolívar
Carlos Arvelo,10-16-26,12,3,2,Pintura de rayado vial centro,2,En proceso,Belén
Diego Ibarra,10-17-26,1,1,3,Nivel de presión salida estanque,1,42,Mariara
J. Iturriza,10-18-26,4,2,1,Entrega de becas estudiantiles,3,TRUE,Morón
Libertador,10-19-26,9,1,4,Módulo policial móvil activo,5,"10.2155, -68.0144",Tocuyito
Los Guayos,10-20-26,5,3,3,Porcentaje de carga transformador,1,88,Los Guayos
